Product,Balance
10 PCS MAGNETIC CRV SOCKET SET ( APTDD308),95
10PCS MAGNETIC CRV SOCKET SET (APTD516),96
168 OIL ALERT,10
168FSTARTER ROPE 4MM,100
2 PCS C-HOOK WRENCH SET( YMM202),24
2 PIN SPADE BIG,62
2 T 1 LT,0
20 PCS COMBINATIONSPANNERS SET ( YOZ30S),5
21 PICS SET SCREW DRIVER WITH HANDLE (DET21U),53
24 PCS ROUTER BITS (CQT1224),45
24 PICES SOCKET SET EURO KING,3
3 FORK SPADE BIG,54
3 JAW GEAR PULLER,4
3 PIN SPADE BIG,45
3 PIN SPADE MEDIUM,28
3 PIN SPADE SMALL,45
40 TOOTH BLADE ROUND,199
43 PCS RATCHET SCREW DRIVER SET ( DER43J),114
5 PC SCREW EXTRATORS,0
5 PCS JIGSAW BLADE SET (HOC5M2),20
5 PICS GRINING STONE KIT (PDM5PC),15
58 PCS MULTIPURPOSE SCREW DRIVER SET (DEM058),28
5PCS GRINDING STONE KIT (PDM5PC),15
5X10 VENTILATION SET,0
5X20 VENTILATION SET,0
71 PCS ACCESSORIES FOR DIE POLISHER SETS (PDM071),19
7PCS COMBINATION SPANNERS SET  (YOR701Z),5
8 TOOTH BLADE,154
9 PCS BALL END HEX  KEY SET,129
9 PCS HEX KEY SET (SO4011235),13
9 STAR END HEX KEY SET,87
9X17 METERS PLASTIC,2
ABS MATERIAL CAP,78
ACCERATOR CABLE BRUSH CUTTER,3
ADJUSTABLE WRENCH  12 INCH,54
ADJUSTABLE WRENCH 8 INCH/200MM,135
AGJUSTABLE PLOUGH FOR MINI TILLER,4
AGRICULTURAL SPRAYER 2 LT,7
AGRO NET 50%,0
AGRO NET GREEN SHADE  90 %,11
AGRO NET GREEN SHADE 75%,0
AIR FILTER MS381,88
ALUMINIUM 05 LTS WITH LED,10
ALUMINIUM 10 LTS WITH LID,9
ALUMINIUM 15LTS WITH LID,8
ALUMINIUM CAN 20LTS  WITH LID,5
ANGLE GRINDER 6100D 750W/110MM,10
ANGLE GRINDER 6100D SALI,0
ANGLE GRINDER ATTACHMENT,1
ANGLE GRINDER HEAVY 6180/1800W,7
ANGLE GRINDER KEY,21
ANGULAR BUFFER STHIL,23
ANNULAR BUFFER-382/381,304
ANTI BIRD NETTING (18X54)METERS,0
ANTI-INSECT MICROSPRINKLER 40 CM PX 50 8L/H,294
APRON,5
ATTACHMENT,1
AUGUR 68 CC,9
AUTO PUMP SALI BRAND,4
AUTO PUMP WP 155R,0
AXE 1.7KG,246
AXE 2.3 KG,283
AXE 2.3KG BLACK,286
AXE WITH HANDLE,49
BAG SEWING MACHINE,2
BALL PEIN HAMMER  FIBRE HANDLE,13
BALL PIN HAMMER SMALL,23
BALL PIN HAMMER WITH HANDLE BIG,11
BAR 180/170,2
BAR 25 INCH (3003 001 5631),12
BAR COVER,49
BAR NUT,19
BATTERY 12V  100 PSI,18
BATTERY CABLE 3 METERS,0
BATTERY CHAIN SAW 4AH,5
BATTERY CHARGER 8212A,9
BATTERY OPERATED WEIGHING MACHINE. 5000GM,0
BATTERY POWERED CHAIN SAW 40 V  HS-GT1627,1
BEARING 1306 K,3
BEARING 32010,8
BEARING 6001,18
BEARING 6005,6
BEARING 6200,5
BEARING 6202 SMALL,23
BEARING 6203,20
BEARING 6204,6
BEARING 6205,6
BEARING 6206,0
BEARING 6208,12
BEARING 6301,6
BEARING 6304,6
BEARING 6305,43
BEARING 6306,8
BEARING 6310,2
BELT FASTENER BOLT SET,-8
BELT PLANER,0
"BENCH GRINDER 2125,180W",6
BI-METAL HOLE SAW 13 PCS SET,5
"BIRD NET 4X50 METER, 3.65 KGS /ROLL",116
BIRD PROTECTION  NET,0
"BLADE 12""X3.5X2)",834
BLADE SET 18 PICES FOR MINI TILLER,13
BLOWER 4001,25
BODY GASKET,8
BOLT CUTTER,23
BOLT M10X25   ROTOR USE,471
BOSCH ANGLE GRINDER GWS 600,0
"BOSCH CUT OFF MACHINE GCO220,14 INCH",0
BOSCH PLANER GHO 10-82,5
BRAKE CABLE,3
BRICK LAYING TROWEL 18 CM ( H0400300),50
BRICK TROWEL 2-3 TYPE (CUM107),50
BRUSH CUTTER ACCELERATOR 26MM,104
BRUSH CUTTER HANDLE PIPE 28MM,4
BRUSH CUTTER STIHL 230,13
BRUSH CUTTER TB 43 MITSUBSHI,0
BRUSH CUTTER THROTTLE,2
BRUSHCUTTER 541 RB,26
BRUSHCUTTER BG328,0
BUN MIXTURE MACHINE,0
BUSH RUBBER STHIL,4
CANVAS PIPE 3INCH 30 METER,60
CAP PETROL,36
CAPACITOR 300VAC,72
CAR BOOKING BAJO TO PARO,0
CAR BOOKING PARO TO BAJO,0
CAR WASHER BATTERY,4
CAR WASHER WH180/2000W/180BAR,7
CARBON,4
CARBON 10-82,1
CARBON FOR PLANER,4
CARBON GKS140,7
CARBON GRINDER 600,36
CARBURATOR BC 520,1
CARBURATOR CG430,0
CARBURATOR MS 381,16
CARBURATOR MS180,11
CARGO NET,6
CART WHEEL,30
CHAFF CUTTER 3KW,3
CHAIN 11.5 INCH,9
CHAIN 16  INCH,3
CHAIN 3/8 058 FULL CHISEL,220
CHAIN ADJUSTER SET,1004
CHAIN JOINER 10 PICE PER PACK,39
CHAIN MS 180,-1
CHAIN MS 250,-1
CHAIN REEL 3653 000 1640,23
"CHAIN SAW 372XP,24 DF",1
"CHAINSAW 125 ,18 INCH",8
CHARGE,0
CHARGER CABLE,2
CHATHO,6
CIRCLIP 25X1.2,100
CIRCULAR BLADE 180X24,37
CIRCULAR BLADE 180X30,32
CIRCULAR BLADE 180X40,-4
CIRCULAR BLADE 180X60,34
CIRCULAR BLADE 300X40,17
CIRCULAR BLADE 300X60,17
CIRCULAR BLADE 8 INCH,5
CIRCULAR CUTTER SALI 105-115MM,22
CIRCULAR SAW  9 INCH  24 TEETH (DMA209),61
CIRCULAR SAW 10 INCH (DMA210),66
CIRCULAR SAW GDC 120,7
CIRCULAR SAW GKS 140,0
CIRCULAR SAW GKS 190,0
CIRCULAR SAW SALI BRAND 185 MM,18
CLAMP,0
CLAMP 20MM,10
CLAMP 3 INCH,0
CLAW HAMMER .25KG,13
CLAW HAMMER 0.5KG,16
CLAW HAMMER 0.75KG,2
CLAW HAMMER BIG,34
CLAW HAMMER HANDLE LESS,41
CLAW HAMMER METAL HANDLE 500 GRM,16
CLAW HAMMER SMALL,7
CLAW HAMMER WODDEN HANDLE 550 GRM,24
CLAW LEVER,33
CLUTCH CABLE,18
CLUTCH CABLE FOR POWER TILLER,0
CLUTCH DRUM FOR MS 381,0
CLUTCH HOUSING,0
CLUTCH SPRING,497
CLUTCH SPRING BRUSH CUTTER,36
COLLAR  450 MM,10
COLLAR 300 MM NP2,52
COLLAR 600 MM,7
COLLAR 750 MM,4
COLLECT NU PARA 8,10
COMBINATION  SPANNER SET (S04110012),10
COMBINATION NAIL CLAW AND BAR (SCV036),23
"COMBINATION PLIER 7""/180 MM",50
COMBINATION PLIER 8 INCH,71
COMBINED RICE MILL WITH MOTOR (6NJ40-F26),5
COMPRESSOR 50 LDAIMER,0
COMPRESSOR 71050 LTS,2
COMPRESSOR ULTRA 72030 LTS,2
CONNECTIONG ROD 168F,5
CONNECTOR BRUCH CUTTER,18
CONNECTOR BRUSH CUTTER,19
CORD LESS DRILL 8220B 20 V SALI,19
CORDLESS ANGLE GRINDER 8115,14
CORDLESS DRILL 10MM,22
CORDLESS DRILL 8212A SALI,13
CORDLESS DRILL GRS 120LI,3
CORN FLAKE SCREEN,0
COUPLER RUBBER,7
COUPLING  F110,5
CRAFT KNIFE KAKU,40
CRANK SHAFT MS381,15
CRANK SHAFT MS382,46
CRIMPING TOOL 16-240 SQMM,3
"CROP COVER  FIBRIC WHITE  10""X400 METERS 17GSM",28
CROW BAR 20MM,-6
CROW BAR 25MM,0
CRUSHER BLADE SET,5
CURD PERCOLATER 28 LTS,6
CURD PEROOLATER 30 LTS,4
CURD PEROOLATOR 40LTS,0
CURD PEROOLATOR AL-20 LTS,2
CURD PEROOLATOR AL60 LTS,3
CURVED JAW LOCKING PLIER (ALM210),108
CUT OFF MACHINE 355MM,7
"CUTT OFF WHEEL 14 """,34
"CUTTING WHEEL 4"" (BOSCH)",366
CUTTING WHEEL TILES CUTTER ( CCM122D),240
CYCLINDER ASSY PT,7
CYLINDER 381 KIT,17
CYLINDER ASSY 382,28
CYLINDER ASSY PT,8
CYLINDER ASSY STHIL,0
DATA LOGGER HOBO JAPAN MX1101,3
DEMOLITION HAMMER 1350 W,13
DEMOLITION HAMMER 2185A,0
DEPTH ADJUSTER,5
DIAMOND  BLADE SALI 105X1.8X2MM,76
DIAMOND CUTTER 4 INCH,0
DIAMOND CUTTING (225X2X9),0
DIE GRINDER 2656 SALI,6
DIGGING TROWEL 204 BIG,5
DIGITAL CALIPER (0-150)MM,34
DIGITAL WEIGHING  SCALE  150KG,16
DITCHER CHAIN,1
DOMCHE,4
DOUGH FLATTENING MACHINE  HCM-240,1
DOUGH SHEETER MAKING MACHUNE,1
DRESSING HAMMER,74
DRESSING HAMMER WITH HANDLE 200 GM,24
DRESSING HAMMER WITH HANDLE 500GM,13
DRESSING HAMMER WITH HANDLE 800 GM,23
DRILL BIT 12MM,291
DRILL BIT 16MM JOBBER,2
DRILL BIT 5MM,960
DRILL BIT 7.5MM,978
DRILL BIT 8.5MM,581
DRILL BIT 9MM,287
DRILL BIT SET 5-10 MM,97
DRILL BITS 4PCS PER SET  (WOOD),10
DRILL CHUCK AND KEY (MDB10U),59
DRILL GSB 13 RE,0
DRILL HAMMER  920 RPM ROTATORY,7
DRILL MACHINE  GSB 500RE,3
DRILL MACHINE  GSB 501,1
DRILL MACHINE GSB 10RE,0
DRILL ROTATORY HAMMER  GBH 220,1
DRYER 12 TRAY,0
DRYER 16 TRAYS,4
DRYER 20 TRAYS,1
DRYER 22 TRAYS,5
DRYER 24 HOOKS,9
DRYER 8 TRAYS,5
D-SPANNER (6-22),0
D-SPANNER (6-22)MM,0
DUST MISTER 362M18,1
EARMUFF,145
EARTH AUGER EA520 /HEADS 20X80 CM,0
ELECTRI SPRAY GUN ELG800,3
ELECTRIC HEAD BREAKER 25MM,40
ELECTRIC HOIST PA500,2
ELECTRIC LIFTING FRAME 12MTSX500KGS,1
ELECTRIC PAINT GUN,8
ELECTRIC PLANNER BLADE ( 5113 ) SALI,268
ELECTRIC SOLDERING IRON ( CTU100P),143
ELECTRIC SPRAY GUN XPT 521,6
END CUTTING NIPPER,57
ENERGIZER  65 MILES,90
ENGINE MOUNTING BUFFER (1118-790-9930),49
EXHAUST BOX,5
EXTENSION CODE,0
EXTENSION CODE 50 MTR,2
EXTERNAL CIRCLIP PLIER (ALS209),83
FAN HOUSING,29
F-CLAMP,76
F-CLAMP (PRF215U),30
FIBRE GLASSOPEN REEL LONG 100METERS (HUM100),0
FILE 4.8MM,224
"FILE 5605 773 5503 (5,5) MM",1319
FILTER WRENCH 63102,7
FIRE HOSE WITH SOCKET 30X3INCH,0
FIRE TONG,0
FLAP DISC 100MM,199
FLAT BELT  2 INCH,57
FLAT BELT 3 INCH X57 MTR,139.96
FLAT BELT 4 INCH X 116 MTR,72
FLAT BELT PIN,15
FLAT RIBBON FOR GREEN HOUSE,0
FLATE FILE 8 INCH,9
FLATE ROPE,4
FLEX BRAIDED PIPE 20M,460
FLEXIBLE SHAFT 85CMM,57
FLEXIBLE SHAFT 89 CM,67
FLOUR MILL 3 KW SINGLE PHASE,10
FLOUR MILL MACHINE 10 INCH,1
FLOUR MILL STONE 12 INCH,40
FLOUR MILL STONE 16 INCH,20
FLOUR NET,24
FLOUR NET BIG HOLE,15
FLOWER POTS MEDIUM,0
FLY WHEEL MS 382,10
FOLDING HEX  8 PC,12
FOLDING TORX WRENCH 8 PC,23
FORCEPS POINTED,0
FORK  1.02 MM (190-290),199
FORK 4TEETH,180
FORK.3TEETH,198
FRUIT PICKER,15
GARDEN RAKE 10 PIN,154
GARDEN SHEAR BRASS 8 INCH,255
"GARDEN SHEARS 8 "" 200MM",255
GAS0LINE HIGH PRESSURE PUMP 3 INCH ( W30080WP),9
GASKET 168F,100
GASKET FOR SPRAYER,5
GASKET FOR SPRAYER 2,5
GASKET HEAD,17
GASKET KIT FOR WATER SPRINKLE,5
GASKET OIL PUMP,184
GASOLINE ENGINE 8.5 HP,15
GASOLINE WATER PUMP 3 INCH,0
GASOLINE WATER PUMP 4 INCH,4
GASOLINE WATER PUMP WP 30,0
G-CLAMP (PRG10U),8
GEAR BOX  26MMX9TEETH,12
GEAR BOX 26MMX7 TEETH,22
GEAR HEAD SQUARE,39
GERNERATOR HONDA E1000,0
GLASS CUTTER,228
GLOVES SALI,17
GRAFTING,-1
GRAFTING KNIFE JAPAN MADE,5
GRAFTING KNIFE WITH SHEATH 75MM JAPANESE MADE,5
GRAFTING PLASTIC TAPE (65X30)CM,0
GRAFTING TAPE 100MMX70MM),96
GRAIN MOISTURE METER,4
GREASE GUN 600CC,6
GREEN HOUSE 5X10,2
GREEN HOUSE 5X20 ..42 POLES 25MM,30
GREEN HOUSE MOTOR,35
GREEN HOUSE PLASTIC 5X10,39
GREEN NET  90%,0
"GREEN NET 3X50 , 90%",24
GREEN NET 90 GSM,3
GRINDER MACHINE HEAVY,0
GRINDER WHEEL,1
GRINDING STONE NO.12,3
GRINGER NUT AND WASHER,9
GURD FOR BRUSHCUTTER,27
HAMMER 10,3
HAMMER 4 KGS,0
HAMMER 5KG,0
HAMMER 6,10
HAMMER CHISEL 30X410X40,20
HAMMER CLAW WITH HANDLE,8
HAMMER WITH HANDLE 1 KG,7
HAMMER WITH HANDLE 2 KG,0
HAMMER WITH HANDLE 500 GM,12
HAMMER WITH OUT HANDLE,83
HAMMER WITHOUT HANDLE 2 KG,16
HAND BLOWER,4
HAND CULTIVATOR 305,8
HAND GLOVES LEATHER,0
HAND GLOVES SALI,54
HAND GLOVES SYTHAYTIC,0
HAND GLOVES YELLOW,-6
"HAND PRUNER 8""",120
HAND SAW BLOCK CUTTER,5
HAND SPRAYER 1.5 LITRES,24
HAND SPRAYER 2 LITRES,10
HAND TOOLS SET 200 PCS/BX,1
HANDLE  MS 381,8
HANDLE CHAIN SAW,8
HANDLE CONNECTOR,10
HANDLE FOR BRUSH CUTTER,0
HANDLE GRIP WITH ROPE,164
HANDSAW PRO-TPR HANDLE 16 (SRN16U),61
HANDSAW PRO-TPR HANDLE 18 INCH (SRN18U),43
HANDSAW PRO-TPR HANDLE 20  INCH(SRN20U),74
HANDSAW PRO-TPR HANDLE 22 INCH( SRN22U),37
HARD CORE PIPE (COMPRESSURE),30
HARVESTER OKA 306,88
HEAT STOVE 30-60M2,5
HEAT STOVE 60-100M2,5
HEATER COIL KOREA,18
HEATER SHINIL,0
HEAVY DUTY CABLE CUTTER (ACC310),117
HEAVY DUTY HAND RIVITER (S06024013) 13 INCH,23
HEGDE TRIMMER,4
HELMET BRUSHCUTTER,2
HEXAGON  NUT M8,904
HIGH PRESSURE WASHER,8
HOE MEDIUM,1
HOLE PUNCHING MACHINE,30
HONDA BRUSH CUTTER 4 STROKE,0
HOSE CONNECTOR,43
HOSE PIPE 2 INCH CHINA (100) METERS,5
HOSE PIPE 3 INCH BLUE  (50 METERS),15
HOSE PIPE FLATE  3 INCH,0
HOSE PIPE FLATE 4 INCH,35
HOSE REEL 25MM,91
HOUSING BODY MS 381,0
HUME 600 MM NP3,0
HUME PIPE  750 NP2,3
HUME PIPE 300 MM NP3,0
HUME PIPE 300 NP2,44
HUME PIPE 450 MM NP2,17
HUME PIPE 450 NP3,0
HUME PIPE 600 MM NP2,8
HUME PIPE 900 NP2,0
HUSQUVARNA BAR 24 INCH,0
HUSQUVARNA CHAIN C85,0
HUSQVARNA 20 INCH,0
HYDRAULC JACK 5 TON,0
HYDRAULIC SCREW JACK 5 TON,0
IGNITION COIL 133,0
IGNITION COIL 168F ENGINE,47
"IMPACT WRENCH 13MM,21V",0
IMPILLAR,0
INCENSE MAKING MACHINE,5
INDUCTION DAY AND NIGHT SWITCH,20
INDUCTION MOTOR WASHER,8
INNER TUBE MINI TILLER,10
INSECT NET 40 MESH,0
INSECT PROOF NET 1.5 X20   40 MESH,187
INTERNAL CIRCLIP PLIER  (ALS407),51
IRON SHEET CUTTER 16.8V,1
JAPANESE HAND PRUNER 200MM Z-18,56
JAPANESE HAND SAW 210MM,108
JAPANESE PRUNER 200MM NO. 881,0
JAPANESE SAW P-240A,0
JICA INTE CROP PROJECT.NAC PARO,0
JIG SAW BLADE,267
JIG SAW SALI BRAND 65MM,0
JOINER,99
JUTE SUTLI,0
KNAP,0
KNAPSACK POWER SPRAYER 20LTS,2
KNAPSACK POWER SPRAYER ST 767 AL,53
KNAPSACK SPRAYER 16 LTS /BATTERY AND MANUAL,50
KNIFE 16 INCH 1.6MM,324
KUTI BIG,6
KUTI SMALL,-1
KUTI WITH HANDLE,0
LABOUR CHARGE,0
LADDER 3.6 METERS,4
LADDER 5.7 METERS,3
LATHE MACHINE 900W,3
LAWN MOWER  4 SROKE,0
LEAF BLOWER 9 HP,2
L-KEY,90
L-KEY SET,0
LOADING,0
LOADING 2 JUMBOS,0
LOCKMS381,84
LOPPING SAW (SRPM12),22
MAGIC MOB,4
MAGNIFYING LENS X3,0
MAIZE CRUSHER BLADE SET,0
MAIZE FLATTEN MACHINE WITH MOTOR 3KW,10
MAIZE MILL WITH 3KW MOTOR,0
MAIZE THRESHER MACHINE,5
MAKING CHARGE,0
MANI FOLD  CHINESE,0
MANIFOLD STHIL,0
"MARBAL CUTTER 3110P,1400W",30
MARVEL CUTTER BLADE,0
MASON THREAD,12
MASONRY DRILL BIT SET (D0300901),235
MEASURING TAPE 3 METERS,157
MEASURING TAPE 5 METER,139
MEASURING TAPE 50 METERS FREE MAN,0
METAL CLAMP WITH SEAL 20MM,-48
METAL CUTTING SALI 4 INCH,578
MICRO SPRINKLER 360 DEGREE,588
MIG 8W FLUX,10
MILK CHUNER 20LTS,0
MILK CHUNER 30 LTS,2
MINI GENERATOR,0
MINI POWER TILLER 8.5 HP,0
MINI TILLER 7.5 HP,14
MINI TILLER BLADE 23MM,10
MOBIL CAP CHINESE,104
MOBILE CAP STHIL,0
MOTOR 1 HP HAVELLS,13
MOTOR 1 HP V-GUARD,12
MOTOR 20 HP,1
